"","original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phyticacid_in_mg"
"270","MW07_0046","BMS, follow-up formula, Infacare Classic 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",82,87.6,368.3,0.512,3.2,3.2,1.55,0.75,0.7,0.5,11.5,0,0.7,110.8,1.2,9.8,83.1,137.2,45.5,0.8,0.0625,5.5,NA,NA,NA,0.132,0.207,0.554,0.0755,NA,11,0.25,0.3775,2.5,12.1,1.45,1,NA
"271","MW07_0047","BMS, follow-up formula, Lactogen 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,486.1,2038.8,2.352,14.7,21.7,NA,NA,NA,NA,58,0,2.297813239,595,7.3,40,405,650,180,5.5,0.4,39,NA,NA,NA,1,1.4,4.5,0.6,NA,90,1,7,19,58,9,8.71,NA
"272","MW07_0048","BMS, follow-up formula, Lactogen 3, powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,486.1,2038.8,2.352,14.7,21.7,NA,NA,NA,NA,58,0,3.7,560,7.3,40,370,580,180,5.5,0.4,39,NA,NA,NA,1,1.4,4.5,0.6,NA,90,1,7,19,58,9,8.71,NA
"273","MW07_0049","BMS, follow-up formula, Lactogen 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",88,67.03,281.14,0.3248,2.03,2.99,NA,NA,NA,NA,8,0,0.51,77.3,1,5.5,51.1,80,25,0.8,0.1,5.38,NA,NA,NA,0.14,0.2,0.62,0.1,NA,12,0.14,1,3,8,1.2,1.34,NA
"274","MW07_0050","BMS, follow-up formula, Nan 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,489.88,2053.24,2.3552,14.72,23,NA,NA,NA,NA,56,0,3,580,7.3,45,380,650,190,5.4,0.4,60,NA,NA,NA,1.1,1.2,4.4,0.6,NA,127,2,5.2,19,65,9,10.72,NA
"275","MW07_0051","BMS, follow-up formula, Nan 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90.4,67.98,285.04,0.3232,2.02,3.1,NA,NA,NA,NA,8,0,0.41,79.1,1,6.1,51.9,88.7,26,0.7,0.05,10,NA,NA,NA,0.2,0.2,0.6,0.1,NA,17,0.2,0.7,3,8.9,1.2,1.34,NA
"276","MW07_0052","BMS, follow-up formula, Nan 3 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",3,485.2,2035.6,2.336,14.6,21.2,NA,NA,NA,NA,59,0,3.3,575,7.3,45,390,625,205,5.9,0.4,40,NA,NA,NA,0.9,1.4,4.5,0.4,NA,106,1,5.9,19,62,8,9.38,NA
"277","MW07_0053","BMS, follow-up formula, Nan 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90.4,66.63,279.49,0.3232,2.02,2.95,NA,NA,NA,NA,8,0,0.46,79.3,1,6.2,53.8,86.2,28,0.8,0.1,5.5,NA,NA,NA,0.1,0.2,0.6,0.1,NA,15,0.1,0.8,3,8.6,1,1.34,NA
"278","MW07_0054","BMS, follow-up formula, S-26 Progress 3 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,451.7,1901.1,2.304,14.4,14.9,3.1,5.9,5,1,65,0,2.4,450.5,5.6,45,360.4,810.8,212,4.5,0.405,586,NA,NA,NA,0.405,0.721,5.18,0.45,NA,23,0.9,1.351,9,54.1,6,3.9,NA
"279","MW07_0055","BMS, follow-up formula, S-26 Progress 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",80,100.5,423,0.512,3.2,3.3,0.65,1.6,1.1,0.4,14.5,0,0.5,100,1.5,10,80,180,47,1,0.09,130,NA,NA,NA,0.09,0.16,1.3,0.1,NA,5,0.21,0.3,2,12,1.5,0.85,NA
"280","MW07_0056","BMS, follow-up formula, S-26 Progress Gold 3 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,452.2,1900.6,2.368,14.8,17,3.7,6.7,5.7,2,60,0,2.8,517,6.8,45.5,346.6,1136.4,256,2.8,0.205,682,NA,NA,NA,0.347,0.568,3.409,0.284,NA,85,1.2,2.29,9,57,10,3.4,NA
"281","MW07_0057","BMS, follow-up formula, S-26 Progress Gold 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",83.3,77.32,324.86,0.4128,2.58,3,0.625,1.208,1,0.416,10,0,0.6,91,1.2,8,61,200,45,0.5,0.036,120,NA,NA,NA,0.0608,0.1,0.6,0.05,NA,15,0.4166,0.403,1.66,10,1.667,0.416,NA
"282","MW07_0058","BMS, follow-up formula, S-26 Promil 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,470.8,1975.9,2.512,15.7,20,8.8,5.7,4.3,2,57,0,2.32,821,8.6,61,464,714,250,3.6,0.286,71.4,NA,NA,NA,0.714,1.071,2.857,0.429,NA,57,1.4,2.5,14,64.3,8,1,NA
"283","MW07_0059","BMS, follow-up formula, S-26 Promil 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90,66,277,0.352,2.2,2.8,1.2,0.8,0.6,0.3,8,0,0.4,115,1.2,8.5,65,100,35,0.5,0.04,10,NA,NA,NA,0.1,0.15,0.4,0.06,NA,8,0.2,0.35,2,9,1.0625,0.737,NA
"284","MW07_0060","BMS, follow-up formula, S-26 Promil Gold 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,477.7,2002.6,2.512,15.7,22.1,9.7,6.3,4.8,0,54,0,2.5,558.8,8.8,62.5,375,661.8,246,3.1,0.22,257,NA,NA,NA,0.375,1.029,2.941,0.294,NA,59,1.3,2.574,10,62.5,10,4.9,NA
"285","MW07_0061","BMS, follow-up formula, S-26 Promil Gold 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",90,63.4,265.7,0.336,2.1,3,1.3,0.9,0.6,0.3,7,0,0.3,76,1.2,8.5,51,90,34,0.4,0.029,35,NA,NA,NA,0.051,0.14,0.4,0.04,NA,8,0.18,0.35,1,8.5,1,0.7,NA
"286","MW07_0062","BMS, follow-up formula, soy based, Infasoy 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,496.7,2081.1,2.624,16.4,23.9,9.5,5.9,7.1,0,54,0,2.11,653,7.5,59.7,410.4,746.3,224,6,0.418,246,NA,NA,NA,0.746,1.119,4.478,0.41,NA,60,1.5,2.239,26,67.2,7.9,5.5,NA
"287","MW07_0063","BMS, follow-up formula, soy-based, Infasoy 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",89.8,65.6,274.8,0.352,2.2,3.2,1.3,0.8,0.9,0,7,0,0.3,87.5,1,8,55,100,30,0.8,0.056,33,NA,NA,NA,0.1,0.15,0.6,0.055,NA,8,0.2,0.3,4,9,1.1,0.7,NA
"288","MW07_0064","BMS, follow-up formula, soy-based, Isomil® 2 powder",NA,NA,NA,NA,NA,"MAFOODS","ZA",2,470.96,1976.58,2.384,14.9,20,NA,NA,NA,NA,57.84,0,2.21923363,530,7,56,350,600,220,5,0.33,300,NA,NA,NA,0.68,0.77,4,0.43,NA,72,1,3,18,63,7,7.4,NA
"289","MW07_0065","BMS, follow-up formula, soy-based, Isomil® 2, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",85.5,68.43,287.19,0.3456,2.16,2.91,NA,NA,NA,NA,8.4,0,0.3,77,1,8.1,51,87,32,0.73,0.048,40,NA,NA,NA,0.1,0.11,0.58,0.06,NA,10,0.15,0.44,2.6,9.2,1.025,1.072,NA
"290","MW07_0066","BMS, follow-up formula, soy-based, Isomil® 3, reconstituted/100mL",NA,NA,NA,NA,NA,"MAFOODS","ZA",85.74,68.95,289.2,0.368,2.3,3.07,NA,NA,NA,NA,8.03,0,0.4,95,1.2,8.7,66,100,35,0.78,0.066,40,NA,NA,NA,0.1,0.11,1.3,0.14,NA,7,0.14,0.43,3,7.7,1,1.8,NA
