,original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
1,NA,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,52,NA,NA,0.2,0.2,NA,NA,NA,NA,11.4,2.4,NA,6,0.1,5,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
2,NA,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,NA,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,89,NA,NA,1.1,0.3,NA,NA,NA,NA,20.2,2.6,NA,5,0.3,27,NA,NA,NA,0.2,0.1,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,NA,Barley,23140.05.01,"barley grain, pearled",Cereals,Barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,9.4,22,NA,NA,NA,3.29,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452
5,NA,Beans,1701.03,"kidney beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,333,NA,NA,23.6,0.8,NA,NA,NA,NA,60,24.9,NA,72,7.5,116,NA,NA,NA,2.8,0.6,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
6,NA,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,NA,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,275,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0.04,0,NA,NA,NA,0.04,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8,NA,"Beverages, Fermented",24310.04.01,"beer, sorghum grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,NA,"Beverages, Fermented",24310.02.01,"beer, maize grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10,NA,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,323,NA,NA,24.9,24,NA,NA,NA,NA,0,0,NA,4,1.7,23,NA,NA,NA,4.1,0.1,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11,NA,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",m,regional-SSA-fct,NA,NA,876,NA,NA,0.3,99.5,NA,NA,NA,NA,0,0,NA,8,0.1,1,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12,NA,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,160,NA,NA,1.4,0.3,NA,NA,NA,NA,38.1,1.8,NA,16,0.3,21,NA,NA,NA,0.3,0.1,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
13,NA,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
14,NA,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
15,NA,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",l,regional-SSA-fct,NA,NA,47,NA,NA,0.9,0.1,NA,NA,NA,NA,9.4,2.4,NA,40,0.1,10,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,NA,Cloves,1656.01,cloves,Other foods,Cloves and products,h,regional-SSA-fct,NA,NA,323,NA,NA,5.98,20.07,NA,NA,NA,NA,27.01,34.2,NA,646,8.7,264,NA,NA,NA,1.1,0.3,NA,0,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17,NA,Cocoa Beans,F0665.01,cocoa powder,Other foods,Cocoa Beans and products,m,regional-SSA-fct,NA,NA,363.049713,NA,NA,18.5,21.7,NA,NA,NA,NA,11.5,12.1,NA,130,10.5,520,NA,NA,NA,6.9,3.9,NA,0,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18,NA,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
19,NA,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,354,NA,NA,3.3,33.5,NA,NA,NA,NA,6.2,9,NA,14,2.4,32,NA,NA,NA,1.1,0.4,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
20,NA,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
