original_food_id,region,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
NA,M,Peas,1705.01,"peas, dried, raw",Pulses and Beans,Peas and products,l,regional-SSA-fct,NA,NA,88.671128,NA,NA,5.5,0.8,NA,NA,NA,NA,8.3,6.3,NA,20,1.7,28,NA,NA,NA,0.87,0.17,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
NA,E,Peas,1705.01,"peas, dried, raw",Pulses and Beans,Peas and products,l,regional-SSA-fct,NA,NA,84,NA,NA,5.4,0.2,NA,NA,NA,NA,10.1,5.5,NA,27,1.5,39,NA,NA,NA,1.2,0.2,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
NA,S,Peas,1705.01,"peas, dried, raw",Pulses and Beans,Peas and products,l,regional-SSA-fct,NA,NA,88.671128,NA,NA,5.5,0.8,NA,NA,NA,NA,8.3,6.3,NA,20,1.7,28,NA,NA,NA,0.87,0.17,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
NA,W,Peas,1705.01,"peas, dried, raw",Pulses and Beans,Peas and products,l,regional-SSA-fct,NA,NA,88.671128,NA,NA,5.5,0.8,NA,NA,NA,NA,8.3,6.3,NA,20,1.7,28,NA,NA,NA,0.87,0.17,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
NA,M,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,Pelagic Fish,m,regional-SSA-fct,NA,NA,133,NA,NA,21.1,2.8,NA,NA,NA,NA,5.9,0,NA,50,1.8,26,NA,NA,NA,0.5,0.06,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,196.70172,NA,NA,20.1,13,NA,NA,NA,NA,0,0,NA,29,0.8,29,NA,NA,NA,0.5,0.03,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,Pelagic Fish,m,regional-SSA-fct,NA,NA,133,NA,NA,21.1,2.8,NA,NA,NA,NA,5.9,0,NA,50,1.8,26,NA,NA,NA,0.5,0.06,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Pepper,1651.01,"pepper, black",Other foods,Pepper and products,h,regional-SSA-fct,NA,NA,228,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.4,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Pepper,1651.01,"pepper, black",Other foods,Pepper and products,h,regional-SSA-fct,NA,NA,336.759082,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.42,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Pepper,1651.01,"pepper, black",Other foods,Pepper and products,h,regional-SSA-fct,NA,NA,336.759082,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.42,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Pepper,1651.01,"pepper, black",Other foods,Pepper and products,h,regional-SSA-fct,NA,NA,228,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.4,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,Pigmeat and products,m,regional-SSA-fct,NA,NA,405,NA,NA,12.6,39.4,NA,NA,NA,NA,0,0,NA,11,1.9,12,NA,NA,NA,3.2,0.09,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,Pigmeat and products,m,regional-SSA-fct,NA,NA,537,NA,NA,19.6,50.2,NA,NA,NA,NA,0,0,NA,18,0.8,17,NA,NA,NA,2.1,0.1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,Pigmeat and products,m,regional-SSA-fct,NA,NA,366.873804,NA,NA,13.9,35.1,NA,NA,NA,NA,0,0,NA,19,0.7,13,NA,NA,NA,1.59,0.06,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,Pigmeat and products,m,regional-SSA-fct,NA,NA,405,NA,NA,12.6,39.4,NA,NA,NA,NA,0,0,NA,11,1.9,12,NA,NA,NA,3.2,0.09,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Pimento,1652.01,"pepper, raw",Fruits and Vegetables,Pimento and products,h,regional-SSA-fct,NA,NA,26,NA,NA,1.8,0.3,NA,NA,NA,NA,4.2,3.5,NA,33,1.2,42,NA,NA,NA,0.3,0.1,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
NA,E,Pimento,1652.02,"peppers, dried, raw",Fruits and Vegetables,Pimento and products,h,regional-SSA-fct,NA,NA,27,NA,NA,1,0.3,NA,NA,NA,NA,4.1,1.7,NA,9,0.4,11,NA,NA,NA,0.1,0.4,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
NA,S,Pimento,1652.01,"pepper, raw",Fruits and Vegetables,Pimento and products,h,regional-SSA-fct,NA,NA,31.548757,NA,NA,0.9,0.2,NA,NA,NA,NA,4.4,2,NA,9,0.5,10,NA,NA,NA,0.12,0.07,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
NA,W,Pimento,1652.01,"pepper, raw",Fruits and Vegetables,Pimento and products,h,regional-SSA-fct,NA,NA,26,NA,NA,1.8,0.3,NA,NA,NA,NA,4.2,3.5,NA,33,1.2,42,NA,NA,NA,0.3,0.1,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
NA,M,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,Pineapples and products,h,regional-SSA-fct,NA,NA,56,NA,NA,0.4,0.3,NA,NA,NA,NA,12.1,1.4,NA,22,0.5,9,NA,NA,NA,2.2,0.33,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,Pineapples and products,h,regional-SSA-fct,NA,NA,48,NA,NA,0.5,0.1,NA,NA,NA,NA,11.2,1.4,NA,7,0.4,14,NA,NA,NA,0.1,0.1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,Pineapples and products,h,regional-SSA-fct,NA,NA,59.034416,NA,NA,0.4,0.1,NA,NA,NA,NA,12.1,1.8,NA,4,0.3,10,NA,NA,NA,0.03,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,Pineapples and products,h,regional-SSA-fct,NA,NA,56,NA,NA,0.4,0.3,NA,NA,NA,NA,12.1,1.4,NA,22,0.5,9,NA,NA,NA,2.2,0.33,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,82,NA,NA,1.9,0.1,NA,NA,NA,NA,17.3,1.8,NA,10,0.8,27,NA,NA,NA,0.3,0.09,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
NA,E,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,58,NA,NA,2.6,0.1,NA,NA,NA,NA,12.4,2.5,NA,30,3.2,23,NA,NA,NA,0.4,0.4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
NA,S,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,77.676864,NA,NA,1.5,0.1,NA,NA,NA,NA,15.9,1.5,NA,6,1.2,15,NA,NA,NA,0.29,0.09,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
NA,W,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,82,NA,NA,1.9,0.1,NA,NA,NA,NA,17.3,1.8,NA,10,0.8,27,NA,NA,NA,0.3,0.09,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
NA,M,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,136,NA,NA,20.6,6,NA,NA,NA,NA,0,0,NA,12,1.2,25,NA,NA,NA,1,0.04,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,200,NA,NA,18.8,13.2,NA,NA,NA,NA,0,0,NA,9,1,14,NA,NA,NA,1.3,0.1,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,117.351816,NA,NA,23,2.7,NA,NA,NA,NA,0,0,NA,14,1.1,28,NA,NA,NA,0.74,0.06,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,136,NA,NA,20.6,6,NA,NA,NA,NA,0,0,NA,12,1.2,25,NA,NA,NA,1,0.04,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Pulses, Other",1706.01,"cow peas, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,335,NA,NA,21.1,1.2,NA,NA,NA,NA,54.7,10.6,NA,84,7.8,41,NA,NA,NA,8,0.08,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
NA,E,"Pulses, Other",1707.01,"pigeon peas, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,343,NA,NA,21.7,1.5,NA,NA,NA,NA,62.8,15,NA,104,4.4,125,NA,NA,NA,2.9,0.8,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
NA,S,"Pulses, Other",1704.01,"lentils, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,354.923518,NA,NA,28.1,1,NA,NA,NA,NA,41.2,15.9,NA,51,9,107,NA,NA,NA,3.61,0.85,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
NA,W,"Pulses, Other",1706.01,"cow peas, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,335,NA,NA,21.1,1.2,NA,NA,NA,NA,54.7,10.6,NA,84,7.8,41,NA,NA,NA,8,0.08,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
NA,M,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Rice (Milled Equivalent),23161.01.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,346,NA,NA,7.3,0.4,NA,NA,NA,NA,76.9,2.8,NA,11,2.6,35,NA,NA,NA,1.2,0.01,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,M,Rice (Milled Equivalent),23161.02.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,346,NA,NA,7.3,0.4,NA,NA,NA,NA,76.9,2.8,NA,11,2.6,35,NA,NA,NA,1.2,0.01,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,E,Rice (Milled Equivalent),23161.01.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,E,Rice (Milled Equivalent),23161.02.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,S,Rice (Milled Equivalent),23120.01.01,"rice flour, white",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,362,NA,NA,6,1.4,NA,NA,NA,NA,77.7,2.4,NA,10,0.4,35,NA,NA,NA,0.8,0.13,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,W,Rice (Milled Equivalent),23161.01.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,346,NA,NA,7.3,0.4,NA,NA,NA,NA,76.9,2.8,NA,11,2.6,35,NA,NA,NA,1.2,0.01,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,W,Rice (Milled Equivalent),23161.02.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,346,NA,NA,7.3,0.4,NA,NA,NA,NA,76.9,2.8,NA,11,2.6,35,NA,NA,NA,1.2,0.01,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
NA,M,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,95,NA,NA,1.8,0.1,NA,NA,NA,NA,19.7,4.1,NA,51,1.2,33,NA,NA,NA,0.2,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
NA,E,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,112,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.1,33,NA,NA,NA,0.2,0.2,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
NA,S,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,115.43977,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.6,33,NA,NA,NA,0.23,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
NA,W,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,95,NA,NA,1.8,0.1,NA,NA,NA,NA,19.7,4.1,NA,51,1.2,33,NA,NA,NA,0.2,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
NA,M,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2,68,NA,NA,NA,4,0.1,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,E,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,S,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,W,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2,68,NA,NA,NA,4,0.1,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,M,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,600,NA,NA,18.5,49.4,NA,NA,NA,NA,18.6,3.7,NA,1150,15.5,347,NA,NA,NA,10.25,2.15,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,E,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,573,NA,NA,17.7,49.7,NA,NA,NA,NA,6.6,16.9,NA,975,14.6,351,NA,NA,NA,7.8,4.1,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,S,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,630.01912,NA,NA,26.4,54.8,NA,NA,NA,NA,6.4,3,NA,131,7.8,347,NA,NA,NA,10.25,2.15,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,W,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,600,NA,NA,18.5,49.4,NA,NA,NA,NA,18.6,3.7,NA,1150,15.5,347,NA,NA,NA,10.25,2.15,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
NA,M,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,Sesameseed Oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,Sesameseed Oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,Sesameseed Oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,Sesameseed Oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Sorghum,114.01,"sorghum grain, raw",Cereals,Sorghum and products,h,regional-SSA-fct,NA,NA,383,NA,NA,11,3.1,NA,NA,NA,NA,75.8,3.7,NA,27,8.7,559,NA,NA,NA,1.6,0.59,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489
NA,E,Sorghum,114.01,"sorghum grain, raw",Cereals,Sorghum and products,h,regional-SSA-fct,NA,NA,339,NA,NA,11.3,3.3,NA,NA,NA,NA,65.6,9,NA,15,4.1,34,NA,NA,NA,0.8,0.3,NA,10,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439
NA,S,Sorghum,114.01,"sorghum grain, raw",Cereals,Sorghum and products,h,regional-SSA-fct,NA,NA,339,NA,NA,11.3,3.3,NA,NA,NA,NA,65.6,9,NA,15,4.1,34,NA,NA,NA,0.8,0.3,NA,10,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439
NA,W,Sorghum,114.01,"sorghum grain, raw",Cereals,Sorghum and products,h,regional-SSA-fct,NA,NA,383,NA,NA,11,3.1,NA,NA,NA,NA,75.8,3.7,NA,27,8.7,559,NA,NA,NA,1.6,0.59,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489
NA,M,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,Soyabean Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0.1,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,Soyabean Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,Soyabean Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,Soyabean Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0.1,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,Soyabeans and products,h,regional-SSA-fct,NA,NA,397,NA,NA,33.2,16.6,NA,NA,NA,NA,20.8,15.7,NA,247,8.3,245,NA,NA,NA,4.7,1.48,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473
NA,E,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,Soyabeans and products,h,regional-SSA-fct,NA,NA,415,NA,NA,36.5,20,NA,NA,NA,NA,21,9.3,NA,278,15.8,280,NA,NA,NA,5,1.7,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473
NA,S,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,Soyabeans and products,h,regional-SSA-fct,NA,NA,446.940726,NA,NA,36.5,19.9,NA,NA,NA,NA,17.7,12.5,NA,277,15.7,280,NA,NA,NA,4.89,1.66,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473
