original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,sesameseed oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sorghum,114.01,"sorghum grain, raw",Cereals,sorghum and products,h,regional-SSA-fct,NA,NA,383,NA,NA,11,3.1,NA,NA,NA,NA,75.8,3.7,NA,27,8.7,559,NA,NA,NA,1.6,0.59,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,M
NA,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,soyabean oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0.1,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,soyabeans and products,h,regional-SSA-fct,NA,NA,397,NA,NA,33.2,16.6,NA,NA,NA,NA,20.8,15.7,NA,247,8.3,245,NA,NA,NA,4.7,1.48,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473,M
NA,"Spices, Other",1699.01,turmeric roots,Other foods,"spices, other and products",m,regional-SSA-fct,NA,NA,382.887189,NA,NA,7.8,9.9,NA,NA,NA,NA,43.8,21.1,NA,183,7,193,NA,NA,NA,1,0.6,NA,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sugar (Raw Equivalent),23520.01,"sugar, white",Other foods,sugar (raw equivalent) and products,h,regional-SSA-fct,NA,NA,369,NA,NA,0,0,NA,NA,NA,NA,92.2,0,NA,10,0.2,2,NA,NA,NA,0.1,0.12,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sugar Beet,1801.01,"beetroots, sugar, raw",Other foods,sugar beet and products,h,regional-SSA-fct,NA,NA,40.630975,NA,NA,1.6,0.1,NA,NA,NA,NA,5.8,2.4,NA,17,0.8,26,NA,NA,NA,0.4,0.1,NA,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sugar Cane,1802.01,sugar canes,Other foods,sugar cane and products,h,regional-SSA-fct,NA,NA,60,NA,NA,1,0,NA,NA,NA,NA,14,2,NA,10,0,2,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,"Sugar, Non-Centrifugal",23511.02.01,"syrups, sugar cane",Other foods,sugar non-centrifugal and products,m,regional-SSA-fct,NA,NA,56,NA,NA,0,0,NA,NA,NA,NA,14.6,0,NA,13,0.3,4,NA,NA,NA,0,0.1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sunflowerseed,1445.01,"sunflower seeds, dried",Other foods,sunflower seed and products,h,regional-SSA-fct,NA,NA,607.552581,NA,NA,22.8,49.6,NA,NA,NA,NA,12.2,6.6,NA,116,7.8,354,NA,NA,NA,10.3,1.5,NA,0,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160,M
NA,Sunflowerseed Oil,21631.01.01,sunflower oil,Other foods,sunflowerseed oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Sweet Potatoes,1530.01,"sweet potato, white-flesh, raw",Roots and Tubers,sweet potatoes and products,l,regional-SSA-fct,NA,NA,112,NA,NA,1.8,0.3,NA,NA,NA,NA,24.1,3,NA,45,1.9,16,NA,NA,NA,0.4,0.2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,M
NA,"Sweeteners, Other",23210.01.01,"fructose, powder",Other foods,"sweeteners, other and products",m,regional-SSA-fct,NA,NA,368,NA,NA,0,0,NA,NA,NA,NA,100,0,NA,0,0.1,0,NA,NA,NA,0,0.2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Tea,23914.01,tea beverages,Other foods,tea (including mate) and products,m,regional-SSA-fct,NA,NA,0,NA,NA,0.1,0,NA,NA,NA,NA,0,0,NA,2,0.1,1,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Tomatoes,1234.01,"tomatoes, raw",Fruits and Vegetables,tomatoes and products,h,regional-SSA-fct,NA,NA,21,NA,NA,1,0.2,NA,NA,NA,NA,3.3,1.1,NA,12,0.9,12,NA,NA,NA,1.1,0.12,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,M
NA,"Vegetables, Other",1212.03,"cabbages, head, raw",Fruits and Vegetables,"vegetables, other and products",m,regional-SSA-fct,NA,NA,26,NA,NA,1.6,0.1,NA,NA,NA,NA,3.4,2.5,NA,35,0.6,10,NA,NA,NA,0.2,0.02,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,M
NA,Wheat,23110.02,"wheat flour, refined",Cereals,wheat and products,m,regional-SSA-fct,NA,NA,347,NA,NA,10.7,1.1,NA,NA,NA,NA,72.1,3.5,NA,21,2,60,NA,NA,NA,4,0.15,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,M
NA,Wine,24212.02.03,"wine, rosé",Other foods,wine and products,m,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.2,0,NA,NA,NA,NA,1.4,0,NA,8,0.4,10,NA,NA,NA,0.07,0.4,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,M
NA,Yams,1540.01,"yams, raw",Roots and Tubers,yams and products,h,regional-SSA-fct,NA,NA,128,NA,NA,2,0.3,NA,NA,NA,NA,27.5,4.1,NA,23,1.3,17,NA,NA,NA,0.2,0.07,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,M
