"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref.x","ref.x.x","ref","ref_fct","ref_code","ref_item","fooditem","WATER","ENERC1","VITA_RAE","VITA_fct","VITA_code","THIA","RIBF","NIA","VITB6","VITB6_fct","VITB6_code","FOL","FOL_fct","FOL_code","VITB12","VITC","VITE","VITE_fct","VITE_code","CA","CU","CU_fct","CU_code","FE","ID","K","K_fct","K_code","MG","MG_fct","MG_code","na","SE","SE_fct","SE_code","ZN","ID_cal","FoodName_3","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","food_genus_id"
"902","Coffee","KENFCT","12003","coffee, instant, dry powder or granules",NA,"2B(18005), AU14(01B10303), UK7(17-158), US28(14214)",NA,NA,NA,NA,"coffee, instant, dry powder or granules","3.1","311","0","","","0","1","42.9","0.03","WAFCT","12_005","7","","","0","2","0.05","","","145","0.46",NA,NA,"3.9",NA,"3690",NA,NA,"350",NA,NA,"83","9","","","0.71","0","coffee beverages","OT","Other foods","2630","coffee and products","23912.02","coffee extracts","23912.02.02"
"308","Cowpea (khobwe)","MAFOODS","MW02_0007","cowpea, dry, vigna unguiculata, (khobwe/nseula)","10",NA,NA,NA,NA,NA,"cowpea, dry, vigna unguiculata, (khobwe/nseula)","11.05","349.443","3.026","","","0.716","0.151","3.126","0.363","","","420.546","","","0","0.807","0.424","","","82.2325","0.585851",NA,NA,"5.36956",NA,"1220.29",NA,NA,"172.466",NA,NA,"19.962","5.79628","","","2.82702","6e-04","black eye peas, dried, raw","PB","Pulses and Beans","2549","pulses, other and products","1706","cow peas, dry","1706.02"
"409","Cucumber","KENFCT","4016","cucumber, green, unpeeled, raw",NA,"1E, 2P(127), 11E(Cucumber, whole, raw / Concombre, entier, cru), CTA(159), IN17(D043), MA1018, US28(11205)",NA,NA,NA,NA,"cucumber, green, unpeeled, raw","96.2","11","0","","","0.03","0.02","0.2","0.034545455","WAFCT","04_032","5.181818182","","","0","7","0.017272727","","","20","0.034545455",NA,NA,"0.7",NA,"136",NA,NA,"14",NA,NA,"22","1","","","0.18","0.0062","cucumbers, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1232","cucumbers and gherkins","1232.01"
"501","Eggs","MAFOODS","MW03_0015","egg, chicken, whole, raw, (dzira la nkhuku)","MZF",NA,"2P(198), FAO(1208), IN17(M001), NG1179, NG1084, SA10(2901), SGS, US28(01123)",NA,NA,NA,"egg, chicken, whole, raw, (dzira la nkhuku)","75","147.9","67","","","0.13","0.4","0.1","0.04","","","46","","","1.9","0","1.470588235","WAFCT","08_001","39","0.117647059",NA,NA,"1.8",NA,"98",NA,NA,"9",NA,NA,"126","23.85892116","KENFCT","7011","1.15","0.2222","egg, chicken, raw","AP","Animal Products","2744","eggs and products","231","hen eggs in shell, fresh","231.01"
"823","Eggs - boiled (vendor)","MAFOODS","MW03_0013","egg, chicken, boiled, (dzira lowilitsa)","R59",NA,"calc. from / de 08_005",NA,NA,NA,"egg, chicken, boiled, (dzira lowilitsa)","72.22222222","164.3333333","74.44444444","","","0.115555556","0.422222222","0.105555556","0.042222222","","","38.33333333","","","1.794444444","0","2.296587927","WAFCT","08_010","43.33333333","0.065616798",NA,NA,"2",NA,"103.4444444",NA,NA,"10",NA,NA,"140","24.20470263","KENFCT","7027","1.277777778","0.2222","egg, chicken, boiled","AP","Animal Products","2744","eggs and products","231","hen eggs in shell, fresh","231.02"
"107","Finger millet (mawere)","MAFOODS","MW01_0016","finger millet, grain, raw, (mawere)","10",NA,NA,NA,NA,NA,"finger millet, grain, raw, (mawere)","8.67","378.236","0","","","0.31","0.134","1.756","0.754","","","29.961","","","0","0","0.052","","","300.377","0.518584",NA,NA,"10.1343",NA,"392.595",NA,NA,"146.993",NA,NA,"19.63","3.02203","","","1.83513","0.001","finger millet,  grain","CE","Cereals","2517","millet and products","118","millet","118.02"
"826","Fish (vendor)","MAFOODS","MW03_0030","fish, tilapia, fresh, grilled, (chambo chootcha)","R33",NA,NA,NA,NA,NA,"fish, tilapia, fresh, grilled, (chambo chootcha)","67.96268815","146.4413292","54.05978376","","","0.082679669","0.108119568","1.144795421","0.127199491","","","11.44795421","","","0.060419758","0","0.635997456","","","116.5412338","0.468801676",NA,NA,"4.014733941","168.9330952","0.57239771",NA,NA,"87.85244859",NA,NA,"47.6998092","39.47803589","uFish","91193","0","0.0563","tilapia, fresh, grilled ","AP","Animal Products","2761","freshwater fish","1501","freshwater fish, fresh","1501.03"
"826","Fish (vendor)","MAFOODS","MW03_0030","fish, tilapia, fresh, grilled, (chambo chootcha)","R33",NA,NA,NA,NA,NA,"fish, tilapia, fresh, grilled, (chambo chootcha)","67.96268815","146.4413292","54.05978376","","","0.082679669","0.108119568","1.144795421","0.127199491","","","11.44795421","","","0.060419758","0","0.635997456","","","116.5412338","0.468801676",NA,NA,"4.014733941","168.9330952","0.57239771",NA,NA,"87.85244859",NA,NA,"47.6998092","39.47803589","uFish","91193","0","0.0563","catfish, african, fresh, grilled","AP","Animal Products","2761","freshwater fish","1501","freshwater fish, fresh","1501.04"
"514","Fish Soup/Sauce","MAFOODS","MW03_0019","fish powder stew, (supu ya ufa wansomba)","R13",NA,NA,NA,NA,NA,"fish powder stew, (supu ya ufa wansomba)","91.13444358","44.44637794","23.24723247","","","0.043576908","0.014944649","0.598809963","0.06820572","","","8.738337541","","","0","7.896120606","0.624922315","","","291.5847495","1.879849243",NA,NA,"6.632974849","0.934647504","176.5933919",NA,NA,"42.75689454",NA,NA,"4.481137114","6.005000971","","","2.044110507","0","pelagic fish, fresh, soup","AP","Animal Products","2763","pelagic fish","1533","pelagic fish, preparation nes","1533.01"
"906","Freezes (flavoured ice)","WAFCT","12_012","carbonated drink (e.g. coca-cola, sprite)","DK2(194), US28(09016)",NA,NA,NA,NA,NA,"juice, canned or bottled, sweetened (e.g. apple)","87.9","48","0","","","0.02","0.02","0.1","0.03","","","0","","","0","1","0.01","","","9","0.01",NA,NA,"0.3",NA,"80",NA,NA,"5",NA,NA,"10","0","AHHA","20001","0.04","0","flavoured ice","OT","Other foods","2542","sugar (raw equivalent) and products","23670.01","sugar confectionery","23670.01.02"
