,ihs5_foodid,ihs5_fooditem,food_genus_id,ref_source,ref_fctcode,ref_fctitem,ref,ref_item,fooditem,WATER,ENERC1,VITA_RAE,THIA,RIBF,NIA,VITB6,FOL,VITB12,VITC,VITE,CA,CU,FE,ID,K,MG,na,SE,ZN,ID_cal
152,803,Cooking oil,2161.01,WAFCT;KENFCT;WAFCT,11_003;9013;11_009,"groundnut oil, unfortified;sun flower oil;soya oil, unfortified",NA,NA,NA,0,900,0,0,0,0,0,0,0,0,26,0,0.006666667,0.066666667,NA,0,0.333333333,0,0,0.026666667,0
153,812,"Yeast, baking powder, bicarbonate of soda",1699.04,KENFCT;KENFCT,13002;13002,"baking powder, dry powder;baking powder, dry powder",NA,NA,NA,4.9,179,0,0,0,0,0,0,0,0,0,4280,0,9.7,NA,10200,34,8850,0,0.89,0
154,812,"Yeast, baking powder, bicarbonate of soda",1699.05,KENFCT;KENFCT,13002;13002,"baking powder, dry powder;baking powder, dry powder",NA,NA,NA,4.9,179,0,0,0,0,0,0,0,0,0,4280,0,9.7,NA,10200,34,8850,0,0.89,0
155,825,Meat (vendor),21111.01.02,MAFOODS;MAFOODS;KENFCT,MW03_0056;MW03_0001;15073,"lamb, meat, roast, (nyama ya nkhosa yootcha);beef mince, fried, (nyama ya ng'ombe yogaya yokazinga);ingokho (fried chicken)",NA,NA,NA,39.52054835,350.8096421,54.85540792,0.116266896,0.218771378,6.90002851,0.373895507,3.617681237,1.609845459,1.203956871,1.6115674,46.41765838,0.249517523,5.194663331,NA,346.6680694,47.24385567,359.055713,23.67796487,3.091710055,0.0026
156,825,Meat (vendor),21116.02,MAFOODS;MAFOODS;KENFCT,MW03_0056;MW03_0001;15073,"lamb, meat, roast, (nyama ya nkhosa yootcha);beef mince, fried, (nyama ya ng'ombe yogaya yokazinga);ingokho (fried chicken)",NA,NA,NA,39.52054835,350.8096421,54.85540792,0.116266896,0.218771378,6.90002851,0.373895507,3.617681237,1.609845459,1.203956871,1.6115674,46.41765838,0.249517523,5.194663331,NA,346.6680694,47.24385567,359.055713,23.67796487,3.091710055,0.0026
157,825,Meat (vendor),21121.04,MAFOODS;MAFOODS;KENFCT,MW03_0056;MW03_0001;15073,"lamb, meat, roast, (nyama ya nkhosa yootcha);beef mince, fried, (nyama ya ng'ombe yogaya yokazinga);ingokho (fried chicken)",NA,NA,NA,39.52054835,350.8096421,54.85540792,0.116266896,0.218771378,6.90002851,0.373895507,3.617681237,1.609845459,1.203956871,1.6115674,46.41765838,0.249517523,5.194663331,NA,346.6680694,47.24385567,359.055713,23.67796487,3.091710055,0.0026
158,836,Zikondamoyo/Nkate,F0022.06,MAFOODS;MAFOODS,MW01_0061;MW01_0001,"steamed maize & banana snack, (mkate);african cake, (chikondamoyo/chigumu cha nthochi ndi dzira)",NA,NA,NA,50.03554202,217.5551246,3.825716213,0.180260465,0.067711309,1.242035048,0.328673334,18.63022697,0.04150284,5.762258138,1.129935223,15.61913176,0.147991475,1.376788958,NA,326.9951785,50.00970428,7.988549337,0.00273045,0.749168506,5.00E-04
159,836,Zikondamoyo/Nkate,F0623.03,MAFOODS;MAFOODS,MW01_0061;MW01_0001,"steamed maize & banana snack, (mkate);african cake, (chikondamoyo/chigumu cha nthochi ndi dzira)",NA,NA,NA,50.03554202,217.5551246,3.825716213,0.180260465,0.067711309,1.242035048,0.328673334,18.63022697,0.04150284,5.762258138,1.129935223,15.61913176,0.147991475,1.376788958,NA,326.9951785,50.00970428,7.988549337,0.00273045,0.749168506,5.00E-04
160,905,Fruit juice,21431.01,MAFOODS;MAFOODS;MAFOODS,MW05_0010;MW05_0011;MW05_0012,"juice tamarind, homemade, (juwisi wa bwemba);juice, baobab, homemade, (malambe juisi);juice, orange, homemade, (juwisi wa malalanje)",NA,NA,NA,79.16523682,82.72485425,0.337414213,0.044236775,0.016900783,0.163663382,0.013406607,21.49305796,0,12.50643196,0.063859347,23.7145341,0.041193868,0.349650761,NA,131.9591434,13.55792276,1.480875384,0.015639493,0.126845196,0
161,5023,Sun Dried fish (Small Variety),1505.03,NA,NA,NA,NA,NA,NA,21.525,345.991,107.0235,0.0345,0.364,19.476,1.7885,18.0875,21.0535,0,1.780135659,1668.375,0.31,13.2595,NA,959.68,337.36,267.28,44.23702703,13.495,0.037275625
162,5033,Fresh fish (Small Variety),1501.06,NA,NA,NA,NA,NA,NA,72.775,126.285465,11.68364391,0.030138377,0.120553506,2.571808118,0.241107011,15.42080259,1.868579336,0,0.400988372,526.88525,0.040184502,3.81475,NA,350.5896864,147.5175,77.71682657,45.57927122,1.215581181,0.012931875
163,5123,Smoked fish (Small Variety),1505.06,NA,NA,NA,NA,NA,NA,54.5,193.994335,1.866173362,0.086575053,0.134672305,13.36141649,0.432875265,24.67389007,2.741543341,0,0.670155039,1127.208,0.663742072,10.7385,NA,534.1584567,319.588,142.9738901,56.0717759,16.35306554,0.0216125
164,835,popcorn,112.03,AHHA,1009,"popcorn, maize, yellow",NA,NA,NA,10.91,334.66,0,0.264,0.09595,2.0064,0.1809,13.072,0,0,NA,3.04722,0.183546,1.41669,NA,311.712,81.972,NA,1.613,1.57707,NA
165,837,kalongonda (mucuna),1701.04,WAFCT; Joy,03_059,"Velvet bean, dry, raw",NA,NA,NA,10.5,334,0,0.16,0.24,1.9,0.79,140,0,0,NA,96,1.57,5.4,NA,987,129,0,NA,3.1,NA
