"ref_fctcode","ID_3","confidence","fct","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"5031","21346.01","h","KE18",NA,NA,NA,NA
"4021","1254.01","h","KE18",NA,NA,NA,NA
"4012","1213.01","m","KE18",NA,NA,NA,NA
"5027","1345.01","m","KE18",NA,NA,NA,NA
"5034","1354.01","h","KE18",NA,NA,NA,NA
"7025","21184.02.01","m","KE18",NA,NA,NA,NA
"7022","21184.01.01","m","KE18",NA,NA,NA,NA
"4004","1213.02","h","KE18",NA,NA,NA,NA
"9002","21691.02.01","h","KE18",NA,NA,NA,NA
"8012","1527.02","h","KE18",NA,NA,NA,NA
"4008","1231.01","h","KE18",NA,NA,NA,NA
"4009","1231.02","h","KE18",NA,NA,NA,NA
"4010","1231.03","h","KE18",NA,NA,NA,NA
"15019","F0020.06","h","KE18",NA,NA,NA,NA
"15020","F0020.04","h","KE18",NA,NA,NA,NA
"15130","F0020.05","h","KE18",NA,NA,NA,NA
"15003","F0022.04","m","KE18",NA,NA,NA,NA
"15025","F0022.06","m","KE18",NA,NA,NA,NA
"7001","21111.01.03","h","KE18",NA,NA,NA,NA
"7002","21111.02.01","l","KE18",NA,NA,NA,NA
"4003","1290.9.06","h","KE18",NA,NA,NA,NA
"4029","1290.9.07","h","KE18",NA,NA,NA,NA
"4038","1290.9.08","h","KE18",NA,NA,NA,NA
"1036","F0022.02","h","KE18",NA,NA,NA,NA
"3002","1243.01","h","KE18",NA,NA,NA,NA
"1024","23120.05.01","h","KE18",NA,NA,NA,NA
"1026","23120.05.02","h","KE18",NA,NA,NA,NA
"6009","22270.01","h","KE18",NA,NA,NA,NA
"6010","22270.02","h","KE18",NA,NA,NA,NA
"6011","22270.03","h","KE18",NA,NA,NA,NA
"6012","22270.04","h","KE18",NA,NA,NA,NA
"6013","22270.05","h","KE18",NA,NA,NA,NA
"1038","23120.06.01","h","KE18",NA,NA,NA,NA
"1040","23120.06.02","h","KE18",NA,NA,NA,NA
"8035","1533.02","h","KE18",NA,NA,NA,NA
"11002","1802.02","h","KE18",NA,NA,NA,NA
"3005","1701.05","h","KE18",NA,NA,NA,NA
"10008","1372.01","l","KE18",NA,NA,NA,NA
"10002","1460.01","h","KE18",NA,NA,NA,NA
"9007","21641.01.01","m","KE18",NA,NA,NA,NA
"5002","1341.02","h","KE18",NA,NA,NA,NA
"50012","1341.03","h","KE18",NA,NA,NA,NA
"5007","1314.01","h","KE18",NA,NA,NA,NA
"5008","1314.02","h","KE18",NA,NA,NA,NA
"9003","1523.01","l","KE18",NA,NA,NA,NA
"1044","23110.01","m","KE18",NA,NA,NA,NA
"13003","F1232.09","h","KE18",NA,NA,NA,NA
"3008","1709.9.02","h","KE18",NA,NA,NA,NA
"3017","1709.9.03","h","KE18",NA,NA,NA,NA
"4025","21397.01.01","h","KE18",NA,NA,NA,NA
"4002","1235.03","h","KE18",NA,NA,NA,NA
"4024","21393.01.01","h","KE18",NA,NA,NA,NA
"1001","1199.9.02","h","KE18",NA,NA,NA,NA
"7008","21122.01","h","KE18",NA,NA,NA,NA
"7026","21170.01.03","h","KE18",NA,NA,NA,NA
"1012","F0022.09","h","KE18",NA,NA,NA,NA
"1013","F0022.10","h","KE18",NA,NA,NA,NA
"1014","F0022.11","h","KE18",NA,NA,NA,NA
"1015","F0022.12","h","KE18",NA,NA,NA,NA
"1016","F0022.13","h","KE18",NA,NA,NA,NA
"5013","21439.02.01","h","KE18",NA,NA,NA,NA
"5016","21439.04.01","h","KE18",NA,NA,NA,NA
"5026","21439.9.03","h","KE18",NA,NA,NA,NA
"5035","21439.01","h","KE18",NA,NA,NA,NA
"5018","1349.2.01","h","KE18",NA,NA,NA,NA
"5039","21346.02","h","KE18",NA,NA,NA,NA
"7015","21156.01","h","KE18",NA,NA,NA,NA
"7018","21155.01","h","KE18",NA,NA,NA,NA
"5005","21419.99.01","h","KE18",NA,NA,NA,NA
"8015","1520.01","h","KE18",NA,NA,NA,NA
"8016","1520.02","h","KE18",NA,NA,NA,NA
"8017","1520.03","h","KE18",NA,NA,NA,NA
"8037","1520.04","h","KE18",NA,NA,NA,NA
"8038","1520.05","h","KE18",NA,NA,NA,NA
"8039","1520.06","h","KE18",NA,NA,NA,NA
"8018","1507.01","h","KE18",NA,NA,NA,NA
