"ref_fctcode","ID_3","confidence","fct"
"3005","1701.05","h","KE18"
"10008","1372.01","l","KE18"
"10002","1460.01","h","KE18"
"9007","21641.01.01","m","KE18"
"5002","1341.02","h","KE18"
"50012","1341.03","h","KE18"
"5007","1314.01","h","KE18"
"5008","1314.02","h","KE18"
"9003","1523.01","l","KE18"
"1044","23110.01","m","KE18"
"13003","F1232.09","h","KE18"
"3008","1709.9.02","h","KE18"
"3017","1709.9.03","h","KE18"
"4025","21397.01.01","h","KE18"
"4002","1235.03","h","KE18"
"4024","21393.01.01","h","KE18"
"1001","1199.9.02","h","KE18"
"7008","21122.01","h","KE18"
"7026","21170.01.03","h","KE18"
"1012","F0022.09","h","KE18"
"1013","F0022.10","h","KE18"
"1014","F0022.11","h","KE18"
"1015","F0022.12","h","KE18"
"1016","F0022.13","h","KE18"
"5013","21439.02.01","h","KE18"
"5016","21439.04.01","h","KE18"
"5026","21439.9.03","h","KE18"
"5035","21439.01.01","h","KE18"
"5018","1349.2.01","h","KE18"
"5039","1346.02","h","KE18"
"7015","21156.01","h","KE18"
"7018","21155.01","h","KE18"
"5005","21419.99.01","h","KE18"
"8015","1520.01","h","KE18"
"8016","1520.02","h","KE18"
"8017","1520.03","h","KE18"
"8037","1520.04","h","KE18"
"8038","1520.05","h","KE18"
"8039","1520.06","h","KE18"
"8018","1507.01","h","KE18"
"8019","1507.02","h","KE18"
"8020","1507.03","h","KE18"
"8021","1507.04","h","KE18"
"8022","1507.05","h","KE18"
"8023","1507.06","h","KE18"
"8024","1507.07","h","KE18"
"8025","1507.08","h","KE18"
"8026","1507.09","h","KE18"
"8027","1507.10","h","KE18"
"8028","1507.11","h","KE18"
"8029","1507.12","h","KE18"
"8030","1507.13","h","KE18"
"8031","1557.01","h","KE18"
"8033","1557.02","h","KE18"
"8034","1533.04","h","KE18"
"8036","1533.05","h","KE18"
"8040","1533.06","h","KE18"
"8041","1533.07","h","KE18"
"8042","1533.08","h","KE18"
"15063","F1232.10","h","KE18"
"4035","1234.03","h","KE18"
"2015","1530.01","m","KE18"
"5020","1316.05","h","KE18"
"7014","21116.02","h","KE18"
"1037","114.02","h","KE18"
"1011","F0022.01","m","KE18"
"4023","1270.01","h","KE18"
"7017","21170.01.02","h","KE18"
"10012","21495.02.01","h","KE18"
"8004","1501.10","h","KE18"
"1006","F0020.07","h","KE18"
"1060","23161.02.03","h","KE18"
"5029","21491.01","m","KE18"
"10007","21422.01","h","KE18"
"10011","1375.01","m","KE18"
"6015","22222.02.01","h","KE18"
"6016","22222.01.01","h","KE18"
"6003","22251.01.02","h","KE18"
"6004","22251.01.03","h","KE18"
"6005","22251.01.04","h","KE18"
"14001","21170.92.07","h","KE18"
"14002","21170.92.08","h","KE18"
"14004","21170.92.09","h","KE18"
"1029","39120.06.01","h","KE18"
"15134","F0875.02","h","KE18"
"6020","22290.04","m","KE18"
"6021","22290.05","m","KE18"
"5038","1221.01","m","KE18"
"4015","1290.9.05","h","KE18"
"3015","1242.01","h","KE18"
"3012","1241.9.01","h","KE18"
"13033","F1232.16","m","KE18"
"1033","23161.02.02","h","KE18"
"1003","F0022.15","h","KE18"
"5001","1341.03","m","KE18"
"5006","1319.05","m","KE18"
"5009","1359.9.04","h","KE18"
"5011","1316.02","m","KE18"
"5021","1359.9.05","h","KE18"
"5032","1359.9.06","h","KE18"
"5033","1353.01.01","h","KE18"
"5037","1359.9.07","h","KE18"
"13020","1699.11","h","KE18"
"4006","1212.05","h","KE18"
"2012","1290.9.11","m","KE18"
"2010","1290.9.13","h","KE18"
"2011","1290.9.14","h","KE18"
