"source_fct","fdc_id","food_desc","scientific_name","food_group","nutrient_data_source","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","WATERg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","SEmcg","VITA_RAEmcg","VITAmcg","RETOLmcg","CARTBEQmcg","THIAmg","RIBFmg","NIAmg","FOLDFEmcg","FOLFDmcg","VITB12mcg","VITCmg","CHOLEmg","OXALACmg","PHYTCPPDmg","TRPmg","FASATgstandardized","FAMSgstandardized","FAPUgstandardized","FATRNgstandardized","F20D5gstandardized","F22D6gstandardized","ALCg"
"KE18","1035","Semolina","Triticum aestivum","CEREALS AND CEREAL PRODUCTS","KEN93-21, AU14-02A10353, US28-20466, UK7-11-903, IN17-A022",1,1460,345,11.8,10.9,1.1,70.5,4.9,0.8,16,1.6,35,102,196,2,1.17,9,0,0,0,2,0.12,0.05,1.9,57,57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1036","Scone, plain, commercial",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-329,AU14-02E20091,ZA10-3237,ZA10-3319,ZA10-3411",1,1570,375,21,7.5,15,51.4,2.1,3,56,1.5,15,107,128,800,0.7,2,95,102,87,90,0.09,0.1,0.5,19,19,0.4,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1037","Sorghum, Grain, Red, Dried, Raw","Sorghum bicolor","CEREALS AND CEREAL PRODUCTS","KEN93-22c,2E, KEN17-22a, SGS, IN17-A005",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,21,0,1,0,4,0.24,0.11,3.3,64,64,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1057","Sorghum, whole, grain, red, dried, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,117,129,4,0.78,9,0,0,0,2,0.05,0.04,1,19,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1058","Sorghum, whole, grain, red, dried, stewed, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,123,162,4,0.82,9,0,0,0,2,0.08,0.05,1.3,21,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1038","Sorghum, Grain, Red, Flour","Sorghum bicolor","CEREALS AND CEREAL PRODUCTS","KEN93-22c,2E, KEN17-22a, SGS, US28-20067",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,12,0,0,0,0,0.24,0.11,3.3,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1039","Sorghum, grain, white, dry, raw","Sorghum bicolor","CEREALS AND CEREAL PRODUCTS","SGS,KEN93-22a, IN17-A005",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,233,6,1.69,21,1,3,0,17,0.24,0.11,3.3,64,64,0,0,NA,0,NA,80,0.586348,1.2030764020979,1.29413822377622,0.0061705,0,0,0
"KE18","1055","Sorghum, whole, grain white, dry, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,141,78,4,0.67,9,1,1,0,6,0.05,0.04,1,19,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1056","Sorghum, whole, grain white, dry, stewed, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,148,97,4,0.7,9,1,1,0,7,0.08,0.05,1.3,21,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1040","Sorghum, grain, white, flour","Sorghum bicolor","CEREALS AND CEREAL PRODUCTS","SGS,KEN93-22a, IN17-A005",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,280,4,1.69,26,1,1,0,8.29,0.24,0.11,3.3,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
