"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"4002","Bitter gourd, whole, different varieties, raw","1235.03","gourd, winter, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","KEIN93-102, IN17-D004/D005/D006, UK7-13-252","89.6","32","135",NA,"1.5","0.2",NA,NA,NA,NA,"4.2","3.7","0.8","22","1.4","20","51","210","16","0.37",NA,NA,NA,"5","11",0.07,"0.04",0.3,NA,NA,"45","0",NA,NA,"60",NA,NA,"14"
"4041","Bitter gourd, whole, different varieties, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"88.4","36","150",NA,"1.7","0.3",NA,NA,NA,NA,"4.6","4.1","0.9","23","1.2","13","51","117","14","0.31",NA,NA,NA,"5","11",0.05,"0.03",0.2,NA,NA,"25","0",NA,NA,"43",NA,NA,NA
"4003","Black (African) nightshade, indigenous, leaves, picked, raw","1290.9.06","cow pea, leaves, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","SGS, KEN93-87, k030, ZA10-4203","88.6","31","127",NA,"3.8","0.1",NA,NA,NA,NA,"1.3","4.3","1.8","100","8.6","41","68","421","10","0.65",NA,NA,NA,"1","2",0.06,"0.32",1.1,NA,NA,"404","0",NA,NA,"36",NA,NA,NA
"4042","Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"89.1","29","121",NA,"3.6","0.1",NA,NA,NA,NA,"1.3","4.1","1.7","91","6.2","24","58","200","7","0.46",NA,NA,NA,"1","2",0.04,"0.2",0.7,NA,NA,"192","0",NA,NA,"14",NA,NA,NA
"4004","Broccoli, tops and stems, raw","1213.02","broccoli, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","KEN93-78, AU14-13A11681, US28-11090","89","34","143",NA,"3.3","0.3",NA,NA,NA,NA,"2.7","3.7","1","66","0.8","21","75","336","22","1",NA,NA,NA,"1","25",0.1,"0.22",0.5,NA,NA,"48","0",NA,NA,"103",NA,NA,NA
"4043","Black (African) nightshade, indigenous, leaves, picked, steamed",NA,NA,NA,NA,NA,"KE18",NA,"90.1","27","111",NA,"3.3","0.1",NA,NA,NA,NA,"1.2","3.8","1.6","82.9969565217391","6","32.2826086956522","55.7608695652174","311.173913043478","7.39130434782609","0.508695652173913",NA,NA,NA,"0.619565217391304","2",0.04,"0.25",0.8,NA,NA,"211","0",NA,NA,"17",NA,NA,NA
"4044","Broccoli, tops and stems, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"90.1","31","129",NA,"3","0.3",NA,NA,NA,NA,"2.4","3.3","0.9","56","0.6","11","61","151","15","0.41",NA,NA,NA,"0","20",0.06,"0.13",0.3,NA,NA,"22","0",NA,NA,"60",NA,NA,NA
"4045","Broccoli, tops and stems, steamed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"89.4","33","137",NA,"3.2","0.3",NA,NA,NA,NA,"2.6","3.6","1","60","0.6","18","69","275","18","0.52",NA,NA,NA,"0","22",0.08,"0.19",0.4,NA,NA,"28","0",NA,NA,"74",NA,NA,NA
"4005","Cabbage, leaf head, Chinese, raw","1212.02","cabbages, chinese, raw","Fruits and Vegetables","vegetables, other and products","h","KE18","SGS, AU14-13A11782, IN17-C013","97","10","40",NA,"0.9","0.3",NA,NA,NA,NA,"0.4","1.1","0.4","36","1.4","10","40","250","16","0",NA,NA,NA,"1","16",0.03,"0.04",0.4,NA,NA,"170","0",NA,NA,"20",NA,NA,NA
"4046","Cabbage, leaf head, Chinese, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"96.9","10","41",NA,"0.9","0.3",NA,NA,NA,NA,"0.4","1.1","0.4","35","1.1","6","37","128","12","0.15",NA,NA,NA,"0","15",0.02,"0.03",0.3,NA,NA,"87","0",NA,NA,"8",NA,NA,NA
