"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"19249","Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate",NA,NA,NA,NA,NA,"US19",NA,"1.6","521","2181",NA,"9.53","31.34","13.21","10.82","4.68","6",NA,"3.3","2","70","1.3","49","144","295","264","0.99","0.2",NA,NA,NA,"14",0.13,"0.1",3.64,0.08,"0","40","0.15","0.44",NA,"0.6","0",NA,NA
"19250","Candies, HERSHEY, KIT KAT BIG KAT Bar",NA,NA,NA,NA,NA,"US19",NA,"1.1","520","2175",NA,"6.24","27.84","17.99","4.91","0.51","9",NA,"1.9","0.96","138","0.84","2","112","294","64","0.07","0.01",NA,NA,NA,NA,0.05,"0.17",0.18,0,NA,"3",NA,"0.04",NA,"1.3",NA,NA,NA
"19252","Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats",NA,NA,NA,NA,NA,"US19",NA,"4.1","474","1985",NA,"8.66","23.42","8.23","8.94","4.33","4",NA,"2.9","2.01","61","0.96","48","130","284","330","0.94","0.18",NA,NA,NA,NA,0.13,"0.1",3.57,0.07,NA,"39",NA,"0.42",NA,"0.4",NA,NA,NA
"19254","Candies, MARS SNACKFOOD US, DOVE Milk Chocolate",NA,NA,NA,NA,NA,"US19","S3361","1.61","546","2282",NA,"5.94","31.72","19.24",NA,NA,"18",NA,"2.4","0.95","160","1.11",NA,NA,NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8",NA,NA,NA
"19255","Candies, MARS SNACKFOOD US, DOVE Dark Chocolate",NA,NA,NA,NA,NA,"US19","S3361","1.66","520","2176",NA,"5.19","32.45","19.209",NA,NA,"7",NA,"7.6","1.3","37","3.18",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"19256","Candies, MARS SNACKFOOD US, MILKY WAY Caramels, milk chocolate covered",NA,NA,NA,NA,NA,"US19","S3361","6.99","463","1938",NA,"4.28","19.17","13.157",NA,NA,"20",NA,"0.7","1.08","141","0.34",NA,NA,NA,"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7",NA,NA,NA
"19258","Candies, MARS SNACKFOOD US, MILKY WAY Caramels. dark chocolate covered",NA,NA,NA,NA,NA,"US19","S3361","6.99","458","1915",NA,"3.82","20.42","13.814",NA,NA,"17",NA,"2.8","1.08","83","1.2",NA,NA,NA,"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,NA,NA
"19260","Ice creams, vanilla, light, no sugar added",NA,NA,NA,NA,NA,"US19",NA,"65.52","169","706",NA,"3.97","7.45","4.048","1.855","0.74","27",NA,"0","1.2","136","0.19","9","75","196","96","0.31","0.03",NA,NA,NA,"86",0.029,"0.122",0.074,0.029,"0","4","0.52","0.256",NA,"0.9","0.1",NA,NA
"19263","Frozen novelties, fruit and juice bars",NA,NA,NA,NA,NA,"US19",NA,"78.3","87","362",NA,"1.2","0.1","0","0","0.03","0",NA,"1","0.2","5","0.19","4","6","53","4","0.05","0",NA,NA,NA,"1",0.011,"0.018",0.159,0.025,"0","7","0","0.04",NA,"9.5","0",NA,NA
"19265","Ice creams, chocolate, light, no sugar added",NA,NA,NA,NA,NA,"US19",NA,"62.99","173","724",NA,"3.54","5.74","3.61","0.93","0.527","16",NA,"0.9","0.94","121","0.48","15","106","196","75","0.4","0.018",NA,NA,NA,"75",0.044,"0.18",0.111,0.042,"0","5","0.38","0.414",NA,"0.7","0.1",NA,NA
